Country,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Vendor,Line Item Quantity,Line Item Value,Pack Price,Unit Price,First Line Designation,FreightCost ,LineItemInsurance  ,Manufacturing country
South Africa,DDP,Ocean,31-Jan-11,1-Feb-11,Aurobindo Pharma Limited,17013,40320.81,2.37,0.04,No,See ASN-9195 (ID#:39724),86.93,India
South Africa,DDP,Ocean,31-Jan-11,31-Jan-11,Aurobindo Pharma Limited,19177,45449.49,2.37,0.04,No,See ASN-9179 (ID#:28515),97.99,India
Vietnam,EXW,Air,22-Dec-10,22-Dec-10,STRIDES ARCOLAB LIMITED,25000,275000.0,11.0,0.18,No,See ASN-9118 (ID#:42125),592.9,India
Vietnam,EXW,Air,12-Aug-10,8-Dec-10,Aurobindo Pharma Limited,168,1218.0,7.25,0.12,No,See ASN-8909 (ID#:19905),2.63,India
Côte d'Ivoire,CIP,Air,9-Aug-10,8-Sep-10,BRISTOL-MYERS SQUIBB,415,2905.0,7.0,0.12,No,See ASN-8019 (ID#:14694),6.26,France
Vietnam,EXW,Air,15-Oct-07,15-Oct-07,Aurobindo Pharma Limited,1000,2100.0,2.1,0.01,No,See ASN-781 (ID#:115),3.36,India
Vietnam,EXW,Air,15-Oct-07,15-Oct-07,Aurobindo Pharma Limited,500,950.0,1.9,0.01,No,See ASN-781 (ID#:115),1.52,India
Vietnam,EXW,Air,13-Aug-10,13-Aug-10,Aurobindo Pharma Limited,21504,30105.6,1.4,0.02,No,See ASN-7661 (ID#:21752),64.91,India
Vietnam,EXW,Air,13-Aug-10,13-Aug-10,Aurobindo Pharma Limited,28496,39894.4,1.4,0.02,No,See ASN-7581 (ID#:42811),86.01,India
Vietnam,EXW,Air,8-Mar-10,3-Aug-10,STRIDES ARCOLAB LIMITED,10935,28431.0,2.6,0.04,No,See ASN-7487 (ID#:48120),61.3,India
Vietnam,EXW,Air,8-Mar-10,3-Aug-10,STRIDES ARCOLAB LIMITED,5600,13160.0,2.35,0.04,No,See ASN-7485 (ID#:30256),28.37,India
Vietnam,EXW,Air,10-Feb-07,2-Oct-07,Aurobindo Pharma Limited,1000,2100.0,2.1,0.01,No,See ASN-744 (ID#:1356),3.36,India
Vietnam,EXW,Air,10-Feb-07,2-Oct-07,Aurobindo Pharma Limited,500,950.0,1.9,0.01,No,See ASN-744 (ID#:1356),1.52,India
Vietnam,EXW,Air,10-Feb-07,2-Oct-07,Aurobindo Pharma Limited,1500,41475.0,27.65,0.46,No,See ASN-737 (ID#:2765),66.36,India
Vietnam,EXW,Air,10-Feb-07,2-Oct-07,Aurobindo Pharma Limited,7000,94500.0,13.5,0.22,No,See ASN-737 (ID#:2765),151.2,India
Vietnam,EXW,Air,7-Jun-10,6-Jul-10,Aurobindo Pharma Limited,14952,128736.72,8.61,0.14,No,See ASN-7262 (ID#:25201),252.32,India
Rwanda,CIP,Air,15-Apr-10,15-Apr-10,Aurobindo Pharma Limited,12730,246070.9,19.33,0.32,No,See ASN-6489 (ID#:23365),482.3,India
Vietnam,EXW,Air,19-Mar-10,19-Mar-10,Aurobindo Pharma Limited,200,3780.0,18.9,0.32,No,See ASN-6266 (ID#:15368),7.41,India
Vietnam,EXW,Air,19-Mar-10,19-Mar-10,Aurobindo Pharma Limited,10416,15103.2,1.45,0.02,No,See ASN-6266 (ID#:15368),29.6,India
Vietnam,EXW,Air,19-Mar-10,19-Mar-10,Aurobindo Pharma Limited,15204,130906.44,8.61,0.14,No,See ASN-6266 (ID#:15368),256.58,India
