Country,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Vendor,Line Item Quantity,Line Item Value,Pack Price,Unit Price,First Line Designation,FreightCost ,LineItemInsurance  ,Manufacturing country
Uganda,N/A - From RDC,Truck,15-Jun-15,14-May-15,SCMS from RDC,8193,15730.56,1.92,0.03,No,See DN-4218 (ID#:83326),18.51,India
Uganda,N/A - From RDC,Truck,15-Jun-15,14-May-15,SCMS from RDC,79258,172782.44,2.18,0.04,No,See DN-4218 (ID#:83326),203.36,India
Uganda,N/A - From RDC,Truck,15-Jun-15,14-May-15,SCMS from RDC,2,6.24,3.12,0.1,No,See DN-4218 (ID#:83326),0.01,India
Uganda,N/A - From RDC,Truck,15-Jun-15,14-May-15,SCMS from RDC,29998,93593.76,3.12,0.1,No,See DN-4218 (ID#:83326),110.16,India
Burundi,N/A - From RDC,Air,30-Jun-15,22-Apr-15,SCMS from RDC,164,314.88,1.92,0.03,No,See DN-4210 (ID#:83906),0.37,India
Côte d'Ivoire,N/A - From RDC,Air,17-Jan-08,17-Jan-08,SCMS from RDC,332,26108.48,78.64,0.29,No,See DN-421 (ID#:10919),41.77,Switzerland
"Congo, DRC",N/A - From RDC,Air,16-Jun-15,25-May-15,SCMS from RDC,820,4173.8,5.09,0.08,No,See DN-4196 (ID#:85025),4.91,India
"Congo, DRC",N/A - From RDC,Air,5-Jun-15,6-Jul-15,SCMS from RDC,110,212.3,1.93,0.01,No,See DN-4195 (ID#:83324),0.25,India
"Congo, DRC",N/A - From RDC,Air,5-Jun-15,6-Jul-15,SCMS from RDC,490,955.5,1.95,0.03,No,See DN-4195 (ID#:83324),1.12,India
Nigeria,N/A - From RDC,Air Charter,30-Apr-15,18-Mar-15,SCMS from RDC,200000,1920000.0,9.6,0.32,No,See DN-4190 (ID#:84461),1973.76,India
Nigeria,N/A - From RDC,Air Charter,30-Apr-15,20-Mar-15,SCMS from RDC,91500,706380.0,7.72,0.13,No,See DN-4188 (ID#:85574),726.16,India
Burundi,N/A - From RDC,Air,29-May-15,25-Mar-15,SCMS from RDC,1008,7781.76,7.72,0.13,No,See DN-4178 (ID#:84460),9.16,India
Burundi,N/A - From RDC,Air,29-May-15,25-Mar-15,SCMS from RDC,282,549.9,1.95,0.03,No,See DN-4178 (ID#:84460),0.65,India
Côte d'Ivoire,N/A - From RDC,Truck,29-May-15,29-May-15,SCMS from RDC,30004,93612.48,3.12,0.1,No,See DN-4177 (ID#:82804),96.23,India
Côte d'Ivoire,N/A - From RDC,Truck,29-May-15,29-May-15,SCMS from RDC,19996,62387.52,3.12,0.1,No,See DN-4177 (ID#:82804),64.13,India
Nigeria,N/A - From RDC,Air Charter,28-Feb-15,10-Mar-15,SCMS from RDC,59014,455588.08,7.72,0.13,No,See DN-4172 (ID#:82785),468.34,India
Nigeria,N/A - From RDC,Air Charter,3-Feb-15,10-Mar-15,SCMS from RDC,148569,968669.88,6.52,0.11,No,See DN-4170 (ID#:85020),995.79,India
Rwanda,N/A - From RDC,Truck,31-Mar-15,24-Mar-15,SCMS from RDC,24174,123045.66,5.09,0.08,No,See DN-4162 (ID#:82783),126.49,India
Guyana,N/A - From RDC,Air,11-Jul-07,7-Nov-07,SCMS from RDC,986,81049.2,82.2,0.68,No,See DN-416 (ID#:12125),129.68,Germany
Zimbabwe,N/A - From RDC,Truck,31-Mar-15,17-Mar-15,SCMS from RDC,6180,24411.0,3.95,0.07,No,See DN-4159 (ID#:83316),25.09,India
Zambia,N/A - From RDC,Truck,27-Feb-15,25-Mar-15,SCMS from RDC,198040,431727.2,2.18,0.04,No,See DN-4154 (ID#:84454),443.82,India
Zambia,N/A - From RDC,Truck,27-Feb-15,25-Mar-15,SCMS from RDC,71600,156088.0,2.18,0.04,No,See DN-4154 (ID#:84454),160.46,India
Mozambique,N/A - From RDC,Truck,30-Jun-15,10-Apr-15,SCMS from RDC,24871,37555.21,1.51,0.01,No,See DN-4153 (ID#:86170),44.2,India
Uganda,N/A - From RDC,Truck,16-Mar-15,12-Mar-15,SCMS from RDC,273,982.8,3.6,0.06,No,See DN-4151 (ID#:83891),1.01,India
Mozambique,N/A - From RDC,Air,30-Nov-07,30-Nov-07,SCMS from RDC,5000,160000.0,32.0,1.6,No,See DN-415 (ID#:12120),256.0,India
Rwanda,N/A - From RDC,Truck,31-Mar-15,24-Mar-15,SCMS from RDC,13653,62667.27,4.59,0.15,No,See DN-4149 (ID#:82782),64.42,India
Rwanda,N/A - From RDC,Truck,31-Mar-15,24-Mar-15,SCMS from RDC,1820,12430.6,6.83,0.03,No,See DN-4149 (ID#:82782),12.78,India
Burundi,N/A - From RDC,Air,27-Feb-15,28-Feb-15,SCMS from RDC,320,6048.0,18.9,0.16,No,See DN-4144 (ID#:82781),7.12,Germany
Burundi,N/A - From RDC,Air,27-Feb-15,28-Feb-15,SCMS from RDC,325,646.75,1.99,0.03,No,See DN-4144 (ID#:82781),0.76,India
Côte d'Ivoire,N/A - From RDC,Truck,27-Feb-15,11-Mar-15,SCMS from RDC,19000,123880.0,6.52,0.11,No,See DN-4137 (ID#:84450),127.35,India
Nigeria,N/A - From RDC,Air Charter,28-Feb-15,5-Feb-15,SCMS from RDC,183995,1420441.4,7.72,0.13,No,See DN-4122 (ID#:85012),1460.21,India
Zambia,N/A - From RDC,Truck,27-Feb-15,19-Feb-15,SCMS from RDC,38151,83169.18,2.18,0.04,No,See DN-4117 (ID#:84449),85.5,India
Zambia,N/A - From RDC,Truck,27-Feb-15,19-Feb-15,SCMS from RDC,27104,59086.72,2.18,0.04,No,See DN-4117 (ID#:84449),60.74,India
Mozambique,N/A - From RDC,Truck,16-Mar-15,30-Mar-15,SCMS from RDC,5280,59294.4,11.23,0.19,No,See DN-4115 (ID#:83306),60.95,India
Zimbabwe,N/A - From RDC,Truck,3-Jun-15,6-Feb-15,SCMS from RDC,74346,725616.96,9.76,0.33,No,See DN-4112 (ID#:84448),745.93,India
Zambia,N/A - From RDC,Truck,31-Mar-15,19-Feb-15,SCMS from RDC,65000,208650.0,3.21,0.11,No,See DN-4111 (ID#:83882),214.49,India
Nigeria,N/A - From RDC,Air,11-Jan-07,1-Nov-07,SCMS from RDC,1200,23400.0,19.5,0.32,No,See DN-411 (ID#:10631),37.44,India
Nigeria,N/A - From RDC,Air Charter,30-Jan-15,14-Jan-15,SCMS from RDC,1,7.72,7.72,0.13,No,See DN-4098 (ID#:84443),0.01,India
Nigeria,N/A - From RDC,Air Charter,30-Jan-15,14-Jan-15,SCMS from RDC,24000,185280.0,7.72,0.13,No,See DN-4098 (ID#:84443),190.47,India
Nigeria,N/A - From RDC,Air Charter,30-Jan-15,14-Jan-15,SCMS from RDC,296996,1369151.56,4.61,0.15,No,See DN-4097 (ID#:85009),1407.49,India
Mozambique,N/A - From RDC,Truck,28-Feb-15,13-Mar-15,SCMS from RDC,380000,3708800.0,9.76,0.33,No,See DN-4096 (ID#:83304),3812.65,India
Mozambique,N/A - From RDC,Truck,28-Feb-15,13-Mar-15,SCMS from RDC,438409,4278871.84,9.76,0.33,No,See DN-4096 (ID#:83304),4398.68,India
Nigeria,N/A - From RDC,Air,16-Nov-07,16-Nov-07,SCMS from RDC,1200,14904.0,12.42,0.41,No,See DN-409 (ID#:10903),23.85,India
Rwanda,N/A - From RDC,Truck,30-Jan-15,9-Feb-15,SCMS from RDC,1296,6596.64,5.09,0.08,No,See DN-4085 (ID#:82772),6.78,India
Zambia,N/A - From RDC,Truck,30-Jan-15,19-Feb-15,SCMS from RDC,1846,12183.6,6.6,0.11,No,See DN-4082 (ID#:85008),12.52,India
Mozambique,N/A - From RDC,Truck,27-Feb-15,3-Mar-15,SCMS from RDC,43334,291637.82,6.73,0.11,No,See DN-4081 (ID#:83872),299.8,India
Côte d'Ivoire,N/A - From RDC,Truck,16-Feb-15,19-Jan-15,SCMS from RDC,20004,62412.48,3.12,0.1,No,See DN-4064 (ID#:82765),64.16,India
Côte d'Ivoire,N/A - From RDC,Truck,16-Feb-15,19-Jan-15,SCMS from RDC,29996,93587.52,3.12,0.1,No,See DN-4064 (ID#:82765),96.21,India
Côte d'Ivoire,N/A - From RDC,Truck,16-Feb-15,19-Jan-15,SCMS from RDC,4236,15037.8,3.55,0.12,No,See DN-4064 (ID#:82765),15.46,India
Côte d'Ivoire,N/A - From RDC,Truck,16-Feb-15,19-Jan-15,SCMS from RDC,120000,926400.0,7.72,0.13,No,See DN-4064 (ID#:82765),952.34,India
Nigeria,N/A - From RDC,Air Charter,30-Jan-15,29-Dec-14,SCMS from RDC,306992,2369978.24,7.72,0.13,No,See DN-4052 (ID#:85005),2436.34,India
Uganda,N/A - From RDC,Truck,16-Feb-15,24-Jan-15,SCMS from RDC,2368,9685.12,4.09,0.07,No,See DN-4041 (ID#:83291),9.96,India
Uganda,N/A - From RDC,Truck,16-Feb-15,24-Jan-15,SCMS from RDC,3663,69230.7,18.9,0.16,No,See DN-4041 (ID#:83291),71.17,Germany
Uganda,N/A - From RDC,Truck,16-Feb-15,24-Jan-15,SCMS from RDC,7500,24075.0,3.21,0.11,No,See DN-4041 (ID#:83291),24.75,India
Rwanda,N/A - From RDC,Truck,14-Jan-15,24-Dec-14,SCMS from RDC,3238,16481.42,5.09,0.08,No,See DN-4040 (ID#:82758),16.94,India
Côte d'Ivoire,N/A - From RDC,Truck,30-Jan-15,11-Feb-15,SCMS from RDC,1956,3892.44,1.99,0.03,No,See DN-4039 (ID#:83869),4.0,India
Mozambique,N/A - From RDC,Truck,3-Feb-15,2-Mar-15,SCMS from RDC,380,1436.4,3.78,0.13,No,See DN-4032 (ID#:82757),1.48,India
Mozambique,N/A - From RDC,Truck,3-Feb-15,2-Mar-15,SCMS from RDC,13642,264381.96,19.38,0.16,No,See DN-4032 (ID#:82757),271.78,India
Côte d'Ivoire,N/A - From RDC,Truck,30-Jan-15,11-Feb-15,SCMS from RDC,10275,213720.0,20.8,0.17,No,See DN-4024 (ID#:82756),219.7,India
Uganda,N/A - From RDC,Truck,15-Jan-15,17-Dec-14,SCMS from RDC,22500,72225.0,3.21,0.11,No,See DN-4019 (ID#:84429),74.25,India
Côte d'Ivoire,N/A - From RDC,Truck,28-Nov-14,2-Dec-14,SCMS from RDC,25555,82031.55,3.21,0.11,No,See DN-4017 (ID#:84997),84.33,India
Côte d'Ivoire,N/A - From RDC,Truck,28-Nov-14,2-Dec-14,SCMS from RDC,32400,107892.0,3.33,0.11,No,See DN-4016 (ID#:84996),110.91,India
Rwanda,N/A - From RDC,Truck,16-Feb-15,14-Jan-15,SCMS from RDC,49941,110369.61,2.21,0.04,No,See DN-4012 (ID#:82755),113.46,India
Rwanda,N/A - From RDC,Truck,16-Feb-15,14-Jan-15,SCMS from RDC,21739,48043.19,2.21,0.04,No,See DN-4012 (ID#:82755),49.39,India
Rwanda,N/A - From RDC,Truck,14-Jan-15,13-Nov-14,SCMS from RDC,459,913.41,1.99,0.03,No,See DN-4011 (ID#:84426),0.94,India
Zimbabwe,N/A - From RDC,Air,25-Nov-07,25-Nov-07,SCMS from RDC,15000,111000.0,7.4,0.12,No,See DN-401 (ID#:11474),177.6,India
Nigeria,N/A - From RDC,Air Charter,30-Nov-14,30-Oct-14,SCMS from RDC,100000,811000.0,8.11,0.14,No,See DN-3999 (ID#:82752),833.71,India
"Congo, DRC",N/A - From RDC,Air,30-Jan-15,18-Feb-15,SCMS from RDC,2660,8352.4,3.14,0.1,No,See DN-3975 (ID#:82748),8.59,India
"Congo, DRC",N/A - From RDC,Air,30-Jan-15,18-Feb-15,SCMS from RDC,800,1592.0,1.99,0.03,No,See DN-3975 (ID#:82748),1.64,India
"Congo, DRC",N/A - From RDC,Air,30-Jan-15,18-Feb-15,SCMS from RDC,714,1499.4,2.1,0.01,No,See DN-3975 (ID#:82748),1.54,India
"Congo, DRC",N/A - From RDC,Air,30-Jan-15,18-Feb-15,SCMS from RDC,5850,22113.0,3.78,0.13,No,See DN-3975 (ID#:82748),22.73,India
"Congo, DRC",N/A - From RDC,Air,30-Jan-15,18-Feb-15,SCMS from RDC,1976,3438.24,1.74,0.03,No,See DN-3975 (ID#:82748),3.53,India
Zimbabwe,N/A - From RDC,Truck,31-Jan-15,30-Oct-14,SCMS from RDC,75013,768883.25,10.25,0.34,No,See DN-3974 (ID#:82745),790.41,India
Zimbabwe,N/A - From RDC,Truck,31-Jan-15,30-Oct-14,SCMS from RDC,6,0.0,0.0,0.0,No,See DN-3974 (ID#:82745),0.0,India
Zimbabwe,N/A - From RDC,Truck,14-Nov-14,30-Oct-14,SCMS from RDC,37963,136666.8,3.6,0.06,No,See DN-3972 (ID#:82740),140.49,India
Mozambique,N/A - From RDC,Truck,31-Dec-14,1-Dec-14,SCMS from RDC,20673,95922.72,4.64,0.15,No,See DN-3957 (ID#:83283),98.61,India
"Congo, DRC",N/A - From RDC,Air,14-Apr-15,14-Apr-15,SCMS from RDC,965,3474.0,3.6,0.06,No,See DN-3954 (ID#:82743),3.57,India
"Congo, DRC",N/A - From RDC,Air,14-Apr-15,14-Apr-15,SCMS from RDC,1400,7616.0,5.44,0.09,No,See DN-3954 (ID#:82743),7.83,India
"Congo, DRC",N/A - From RDC,Air,14-Apr-15,14-Apr-15,SCMS from RDC,590,890.9,1.51,0.01,No,See DN-3954 (ID#:82743),0.92,India
"Congo, DRC",N/A - From RDC,Air,14-Apr-15,14-Apr-15,SCMS from RDC,5850,12753.0,2.18,0.04,No,See DN-3954 (ID#:82743),13.11,India
Mozambique,N/A - From RDC,Truck,31-Dec-14,28-Oct-14,SCMS from RDC,80,302.4,3.78,0.13,No,See DN-3944 (ID#:82733),0.31,India
Mozambique,N/A - From RDC,Truck,31-Dec-14,28-Oct-14,SCMS from RDC,220,831.6,3.78,0.13,No,See DN-3944 (ID#:82733),0.85,India
Mozambique,N/A - From RDC,Truck,31-Oct-14,30-Oct-14,SCMS from RDC,7977,90618.72,11.36,0.19,No,See DN-3939 (ID#:82732),93.16,India
Mozambique,N/A - From RDC,Truck,31-Oct-14,30-Oct-14,SCMS from RDC,110000,908600.0,8.26,0.14,No,See DN-3939 (ID#:82732),934.04,India
Uganda,N/A - From RDC,Air,30-Sep-14,1-Oct-14,SCMS from RDC,1000,5440.0,5.44,0.09,No,See DN-3936 (ID#:85530),5.59,India
"Congo, DRC",N/A - From RDC,Air,30-Oct-14,27-Oct-14,SCMS from RDC,710,6624.3,9.33,0.1,No,See DN-3927 (ID#:83845),6.81,India
Namibia,N/A - From RDC,Truck,30-Sep-14,15-Sep-14,SCMS from RDC,29369,94274.49,3.21,0.11,No,See DN-3907 (ID#:82729),96.91,India
Namibia,N/A - From RDC,Truck,30-Sep-14,15-Sep-14,SCMS from RDC,13337,86957.24,6.52,0.11,No,See DN-3907 (ID#:82729),89.39,India
Côte d'Ivoire,N/A - From RDC,Truck,30-Sep-14,8-Sep-14,SCMS from RDC,106,222.6,2.1,0.01,No,See DN-3900 (ID#:83815),0.23,India
South Sudan,N/A - From RDC,Air,10-Feb-14,17-Oct-14,SCMS from RDC,4488,14406.48,3.21,0.11,No,See DN-3891 (ID#:86103),14.81,India
Mozambique,N/A - From RDC,Truck,30-Sep-14,30-Oct-14,SCMS from RDC,2199,10203.36,4.64,0.15,No,See DN-3886 (ID#:83817),10.49,India
"Congo, DRC",N/A - From RDC,Air,22-Sep-14,30-Sep-14,SCMS from RDC,3485,22722.2,6.52,0.11,No,See DN-3885 (ID#:82693),23.36,India
Zambia,N/A - From RDC,Truck,9-Apr-14,23-Sep-14,SCMS from RDC,35000,228200.0,6.52,0.11,No,See DN-3877 (ID#:83254),234.59,India
Mozambique,N/A - From RDC,Truck,31-Dec-14,30-Oct-14,SCMS from RDC,36000,388080.0,10.78,0.36,No,See DN-3875 (ID#:83255),398.95,India
Mozambique,N/A - From RDC,Truck,31-Dec-14,30-Oct-14,SCMS from RDC,8283,26588.43,3.21,0.11,No,See DN-3875 (ID#:83255),27.33,India
Mozambique,N/A - From RDC,Truck,31-Dec-14,30-Oct-14,SCMS from RDC,1040,3338.4,3.21,0.11,No,See DN-3875 (ID#:83255),3.43,India
Mozambique,N/A - From RDC,Truck,31-Dec-14,30-Oct-14,SCMS from RDC,18886,203591.08,10.78,0.36,No,See DN-3875 (ID#:83255),209.29,India
Mozambique,N/A - From RDC,Truck,30-Sep-14,27-Oct-14,SCMS from RDC,85490,693323.9,8.11,0.14,No,See DN-3872 (ID#:82726),712.74,India
Mozambique,N/A - From RDC,Truck,30-Sep-14,27-Oct-14,SCMS from RDC,90000,729900.0,8.11,0.14,No,See DN-3872 (ID#:82726),750.34,India
Mozambique,N/A - From RDC,Truck,29-Aug-14,27-Oct-14,SCMS from RDC,103410,838655.1,8.11,0.14,No,See DN-3866 (ID#:85519),862.14,India
Mozambique,N/A - From RDC,Truck,31-Aug-14,30-Oct-14,SCMS from RDC,6600,21186.0,3.21,0.11,No,See DN-3865 (ID#:82723),21.78,India
Mozambique,N/A - From RDC,Truck,31-Aug-14,30-Oct-14,SCMS from RDC,77000,247170.0,3.21,0.11,No,See DN-3865 (ID#:82723),254.09,India
Mozambique,N/A - From RDC,Truck,29-Aug-14,27-Oct-14,SCMS from RDC,114324,927167.64,8.11,0.14,No,See DN-3864 (ID#:85518),953.13,India
Côte d'Ivoire,N/A - From RDC,Air,22-Oct-07,22-Oct-07,SCMS from RDC,595,5.95,0.01,0.0,No,See DN-385 (ID#:11186),0.01,India
Guyana,N/A - From RDC,Air,30-Sep-14,30-Jul-14,SCMS from RDC,90,128.7,1.43,0.01,No,See DN-3844 (ID#:82710),0.13,India
Guyana,N/A - From RDC,Air,30-Sep-14,30-Jul-14,SCMS from RDC,791,4303.04,5.44,0.09,No,See DN-3844 (ID#:82710),4.42,India
Guyana,N/A - From RDC,Air,30-Sep-14,30-Jul-14,SCMS from RDC,320,556.8,1.74,0.03,No,See DN-3844 (ID#:82710),0.57,India
"Congo, DRC",N/A - From RDC,Air,13-Aug-14,24-Sep-14,SCMS from RDC,980,1705.2,1.74,0.03,No,See DN-3843 (ID#:82707),1.75,India
"Congo, DRC",N/A - From RDC,Air,13-Aug-14,24-Sep-14,SCMS from RDC,710,6603.0,9.3,0.1,No,See DN-3843 (ID#:82707),6.79,India
"Congo, DRC",N/A - From RDC,Air,13-Aug-14,24-Sep-14,SCMS from RDC,2825,10537.25,3.73,0.06,No,See DN-3843 (ID#:82707),10.83,India
"Congo, DRC",N/A - From RDC,Air,13-Aug-14,24-Sep-14,SCMS from RDC,2955,9485.55,3.21,0.11,No,See DN-3843 (ID#:82707),9.75,India
"Congo, DRC",N/A - From RDC,Air,13-Aug-14,24-Sep-14,SCMS from RDC,2829,15389.76,5.44,0.09,No,See DN-3843 (ID#:82707),15.82,India
"Congo, DRC",N/A - From RDC,Air,13-Aug-14,24-Sep-14,SCMS from RDC,3300,35574.0,10.78,0.36,No,See DN-3843 (ID#:82707),36.57,India
South Sudan,N/A - From RDC,Air,9-Jan-14,1-Sep-14,SCMS from RDC,1016,9448.8,9.3,0.1,No,See DN-3842 (ID#:82706),9.71,India
South Sudan,N/A - From RDC,Air,9-Jan-14,1-Sep-14,SCMS from RDC,3274,18432.62,5.63,0.09,No,See DN-3842 (ID#:82706),18.95,India
"Congo, DRC",N/A - From RDC,Air,24-Sep-14,28-Oct-14,SCMS from RDC,2725,5940.5,2.18,0.04,No,See DN-3836 (ID#:83825),6.11,India
Zambia,N/A - From RDC,Truck,29-Aug-14,4-Sep-14,SCMS from RDC,35822,677035.8,18.9,0.16,No,See DN-3833 (ID#:82691),695.99,Germany
Mozambique,N/A - From RDC,Truck,29-Aug-14,5-Nov-14,SCMS from RDC,5232,13027.68,2.49,0.04,No,See DN-3828 (ID#:82713),13.39,India
Mozambique,N/A - From RDC,Truck,29-Aug-14,5-Nov-14,SCMS from RDC,90472,589877.44,6.52,0.11,No,See DN-3828 (ID#:82713),606.39,India
Mozambique,N/A - From RDC,Truck,29-Aug-14,25-Aug-14,SCMS from RDC,232476,1885380.36,8.11,0.14,No,See DN-3827 (ID#:82705),1938.17,India
Mozambique,N/A - From RDC,Truck,29-Aug-14,25-Aug-14,SCMS from RDC,42000,340620.0,8.11,0.14,No,See DN-3827 (ID#:82705),350.16,India
Zimbabwe,N/A - From RDC,Truck,30-Sep-14,29-Jun-14,SCMS from RDC,43715,202400.45,4.63,0.15,No,See DN-3825 (ID#:82702),208.07,India
Zimbabwe,N/A - From RDC,Truck,30-Sep-14,29-Jun-14,SCMS from RDC,120000,261600.0,2.18,0.04,No,See DN-3825 (ID#:82702),268.92,India
Zimbabwe,N/A - From RDC,Truck,30-Sep-14,29-Jun-14,SCMS from RDC,68113,148486.34,2.18,0.04,No,See DN-3825 (ID#:82702),152.64,India
Zimbabwe,N/A - From RDC,Truck,30-Sep-14,29-Jun-14,SCMS from RDC,140000,648200.0,4.63,0.15,No,See DN-3825 (ID#:82702),666.35,India
Zimbabwe,N/A - From RDC,Truck,30-Sep-14,29-Jun-14,SCMS from RDC,48253,105191.54,2.18,0.04,No,See DN-3825 (ID#:82702),108.14,India
Zimbabwe,N/A - From RDC,Truck,30-Sep-14,29-Jun-14,SCMS from RDC,75701,350495.63,4.63,0.15,No,See DN-3825 (ID#:82702),360.31,India
Zambia,N/A - From RDC,Truck,14-Jul-14,3-Sep-14,SCMS from RDC,7130,38787.2,5.44,0.09,No,See DN-3822 (ID#:84390),39.87,India
Zambia,N/A - From RDC,Truck,31-Jul-14,23-Jul-14,SCMS from RDC,106280,1145698.4,10.78,0.36,No,See DN-3819 (ID#:85506),1177.78,India
Guyana,N/A - From RDC,Air,30-Sep-14,29-Aug-14,SCMS from RDC,2238,12846.12,5.74,0.19,No,See DN-3817 (ID#:83822),13.21,India
Mozambique,N/A - From RDC,Truck,15-Aug-14,15-Aug-14,SCMS from RDC,57870,314812.8,5.44,0.09,No,See DN-3809 (ID#:84950),323.63,India
Nigeria,N/A - From RDC,Air Charter,31-Oct-14,20-Jun-14,SCMS from RDC,7354,34122.56,4.64,0.15,No,See DN-3807 (ID#:82698),35.08,India
Côte d'Ivoire,N/A - From RDC,Truck,28-Nov-14,9-Jul-14,SCMS from RDC,10000,46300.0,4.63,0.15,No,See DN-3803 (ID#:83260),47.6,India
Nigeria,N/A - From RDC,Air Charter,30-Jun-14,20-Jun-14,SCMS from RDC,145235,1177855.85,8.11,0.14,No,See DN-3794 (ID#:82694),1210.84,India
Nigeria,N/A - From RDC,Air Charter,30-Jun-14,20-Jun-14,SCMS from RDC,34000,221680.0,6.52,0.11,No,See DN-3792 (ID#:83259),227.89,India
Côte d'Ivoire,N/A - From RDC,Air,15-Oct-07,15-Oct-07,SCMS from RDC,1455,55813.8,38.36,0.11,No,See DN-379 (ID#:10890),89.3,France
Côte d'Ivoire,N/A - From RDC,Air,15-Oct-07,15-Oct-07,SCMS from RDC,5794,47221.1,8.15,0.14,No,See DN-379 (ID#:10890),75.55,India
Rwanda,N/A - From RDC,Truck,19-Aug-14,13-Aug-14,SCMS from RDC,88809,200708.34,2.26,0.04,No,See DN-3787 (ID#:83818),206.33,India
Zimbabwe,N/A - From RDC,Truck,30-Jul-14,11-Jul-14,SCMS from RDC,51747,116948.22,2.26,0.04,No,See DN-3780 (ID#:84944),120.22,India
Zimbabwe,N/A - From RDC,Truck,30-Sep-14,20-Jun-14,SCMS from RDC,178097,402499.22,2.26,0.04,No,See DN-3771 (ID#:84943),413.77,India
Tanzania,N/A - From RDC,Air,31-Jul-14,25-Sep-14,SCMS from RDC,43293,56280.9,1.3,0.01,No,See DN-3762 (ID#:82685),69.62,India
Tanzania,N/A - From RDC,Air,31-Jul-14,25-Sep-14,SCMS from RDC,28464,37003.2,1.3,0.01,No,See DN-3762 (ID#:82685),45.77,India
Côte d'Ivoire,N/A - From RDC,Air,10-Feb-07,2-Oct-07,SCMS from RDC,350,25200.0,72.0,0.72,No,See DN-376 (ID#:10628),40.32,India
Mozambique,N/A - From RDC,Truck,31-Jul-14,25-Jul-14,SCMS from RDC,30000,96300.0,3.21,0.11,No,See DN-3752 (ID#:84373),99.0,India
Mozambique,N/A - From RDC,Truck,31-Jul-14,25-Jul-14,SCMS from RDC,45696,74484.48,1.63,0.01,No,See DN-3752 (ID#:84373),76.57,India
Burundi,N/A - From RDC,Air,16-Jun-14,4-Jun-14,SCMS from RDC,573,1839.33,3.21,0.11,No,See DN-3739 (ID#:83804),2.28,India
Guyana,N/A - From RDC,Air,30-Jun-14,3-Jun-14,SCMS from RDC,574,998.76,1.74,0.03,No,See DN-3737 (ID#:84934),1.03,India
Uganda,N/A - From RDC,Truck,30-Jun-14,30-Jun-14,SCMS from RDC,52898,429002.78,8.11,0.14,No,See DN-3732 (ID#:82680),441.01,India
Uganda,N/A - From RDC,Truck,30-Jun-14,30-Jun-14,SCMS from RDC,30,243.3,8.11,0.14,No,See DN-3732 (ID#:82680),0.25,India
Nigeria,N/A - From RDC,Air,20-Sep-07,20-Sep-07,SCMS from RDC,222,1665.0,7.5,0.12,No,See DN-373 (ID#:10623),2.66,India
Nigeria,N/A - From RDC,Air,20-Sep-07,20-Sep-07,SCMS from RDC,1132,8716.4,7.7,0.13,No,See DN-373 (ID#:10623),13.95,India
Nigeria,N/A - From RDC,Air,20-Sep-07,20-Sep-07,SCMS from RDC,1653,6529.35,3.95,0.02,No,See DN-373 (ID#:10623),10.45,India
Nigeria,N/A - From RDC,Air,20-Sep-07,20-Sep-07,SCMS from RDC,614,2032.34,3.31,0.06,No,See DN-373 (ID#:10623),3.25,India
Nigeria,N/A - From RDC,Air,20-Sep-07,20-Sep-07,SCMS from RDC,600,2142.0,3.57,0.06,No,See DN-373 (ID#:10623),3.43,India
Nigeria,N/A - From RDC,Air,20-Sep-07,20-Sep-07,SCMS from RDC,390,1010.1,2.59,0.01,No,See DN-373 (ID#:10623),1.62,India
Nigeria,N/A - From RDC,Air,20-Sep-07,20-Sep-07,SCMS from RDC,229,2445.72,10.68,0.18,No,See DN-373 (ID#:10623),3.91,India
Nigeria,N/A - From RDC,Air,20-Sep-07,20-Sep-07,SCMS from RDC,1622,10056.4,6.2,0.03,No,See DN-373 (ID#:10623),16.09,India
Nigeria,N/A - From RDC,Air Charter,6-Mar-14,9-May-14,SCMS from RDC,200000,1622000.0,8.11,0.14,No,See DN-3721 (ID#:86086),1667.42,India
Nigeria,N/A - From RDC,Air Charter,30-Jun-14,9-May-14,SCMS from RDC,11820,44325.0,3.75,0.06,No,See DN-3719 (ID#:85477),45.57,India
Burundi,N/A - From RDC,Air,30-May-14,25-Jun-14,SCMS from RDC,1152,9342.72,8.11,0.14,No,See DN-3712 (ID#:83795),9.6,India
Burundi,N/A - From RDC,Air,30-May-14,25-Jun-14,SCMS from RDC,450,994.5,2.21,0.04,No,See DN-3712 (ID#:83795),1.02,India
Côte d'Ivoire,N/A - From RDC,Truck,30-Jun-14,4-Jun-14,SCMS from RDC,25000,83250.0,3.33,0.11,No,See DN-3706 (ID#:82676),116.72,India
Zimbabwe,N/A - From RDC,Truck,30-May-14,30-May-14,SCMS from RDC,66407,715867.46,10.78,0.36,No,See DN-3702 (ID#:84928),885.53,India
Côte d'Ivoire,N/A - From RDC,Truck,30-May-14,12-May-14,SCMS from RDC,1821,3168.54,1.74,0.03,No,See DN-3685 (ID#:83245),3.26,India
Zambia,N/A - From RDC,Air,4-Aug-14,18-Apr-14,SCMS from RDC,2000,2600.0,1.3,0.01,No,See DN-3657 (ID#:82670),2.67,India
Côte d'Ivoire,N/A - From RDC,Truck,30-Apr-14,22-Apr-14,SCMS from RDC,11000,61930.0,5.63,0.09,No,See DN-3656 (ID#:84922),63.66,India
